2026-03-28 03:49:26,126 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 03:49:35,106 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 04:34:20,068 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 04:34:29,098 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 04:34:43,354 | detector_service | INFO | /detect request received
2026-03-28 04:34:53,738 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 04:34:53,793 | detector_service | INFO | /detect request received
2026-03-28 04:34:59,153 | detector_service | INFO | Detection completed: 124 boxes, 124 crops
2026-03-28 04:38:09,517 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 04:46:47,388 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 04:47:03,573 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 04:47:11,032 | detector_service | INFO | /detect request received
2026-03-28 04:47:21,648 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 04:47:21,713 | detector_service | INFO | /detect request received
2026-03-28 04:47:26,060 | detector_service | INFO | /detect request received
2026-03-28 04:47:28,865 | detector_service | INFO | Detection completed: 117 boxes, 117 crops
2026-03-28 04:47:32,502 | detector_service | INFO | Detection completed: 117 boxes, 117 crops
2026-03-28 04:50:06,330 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 04:50:22,215 | detector_service | INFO | /detect request received
2026-03-28 04:50:27,404 | detector_service | INFO | Detection completed: 117 boxes, 117 crops
2026-03-28 04:59:45,636 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 05:00:34,521 | detector_service | INFO | /detect request received
2026-03-28 05:00:37,357 | detector_service | INFO | Detection completed: 117 boxes, 117 crops
2026-03-28 05:00:44,622 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 05:00:46,361 | detector_service | INFO | /detect request received
2026-03-28 05:00:49,203 | detector_service | INFO | Detection completed: 117 boxes, 117 crops
2026-03-28 05:01:27,648 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 05:01:31,953 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 05:01:43,811 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 05:01:59,838 | detector_service | INFO | /detect request received
2026-03-28 05:02:02,682 | detector_service | INFO | Detection completed: 117 boxes, 117 crops
2026-03-28 05:03:40,915 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 05:05:53,214 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 05:05:57,790 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 05:06:20,229 | detector_service | INFO | /detect request received
2026-03-28 05:06:23,122 | detector_service | INFO | Detection completed: 117 boxes, 117 crops
2026-03-28 05:09:06,622 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 05:09:19,136 | detector_service | INFO | /detect request received
2026-03-28 05:09:22,037 | detector_service | INFO | Detection completed: 117 boxes, 117 crops
2026-03-28 05:26:22,787 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 05:26:29,985 | detector_service | INFO | /detect request received
2026-03-28 05:26:32,895 | detector_service | INFO | Detection completed: 117 boxes, 117 crops
2026-03-28 05:47:39,092 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 06:16:29,636 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 06:16:34,070 | detector_service | INFO | Starting Detector Service on port 8001
2026-03-28 06:17:26,575 | detector_service | INFO | Starting Detector Service on port 8001
