2026-03-28 03:49:25,310 | grouping | INFO | Loaded ResNet model for embeddings
2026-03-28 03:49:33,604 | grouping | INFO | Loaded ResNet model for embeddings
2026-03-28 04:34:19,427 | grouping | INFO | Loaded ResNet model for embeddings
2026-03-28 04:34:27,706 | grouping | INFO | Loaded ResNet model for embeddings
2026-03-28 04:34:53,504 | grouping | INFO | Loaded ResNet model for embeddings
2026-03-28 04:35:02,499 | grouping | INFO | Computed embeddings for 124 crops
2026-03-28 04:35:02,546 | grouping | INFO | Clustering produced 124 groups for 124 items
2026-03-28 04:35:02,645 | grouping.utils | INFO | Wrote output image to ../outputs\result_e4b811d6-5b61-46b5-96c3-cb3c993cf292.jpg
2026-03-28 04:38:08,390 | grouping | INFO | Loaded ResNet model for embeddings
2026-03-28 04:46:46,490 | grouping | INFO | Loaded ResNet model for embeddings
2026-03-28 04:47:02,752 | grouping | INFO | Loaded ResNet model for embeddings
2026-03-28 04:47:21,000 | grouping | INFO | Loaded ResNet model for embeddings
2026-03-28 04:47:33,202 | grouping | INFO | Computed embeddings for 117 crops
2026-03-28 04:47:33,228 | grouping | INFO | Clustering produced 117 groups for 117 items
2026-03-28 04:47:33,370 | grouping.utils | INFO | Wrote output image to ../outputs\result_0111eaa1-e3a6-4c80-9c59-cb6ac393dc02.jpg
2026-03-28 04:47:35,986 | grouping | INFO | Computed embeddings for 117 crops
2026-03-28 04:47:35,990 | grouping | INFO | Clustering produced 117 groups for 117 items
2026-03-28 04:47:36,081 | grouping.utils | INFO | Wrote output image to ../outputs\result_d260297c-d09e-4a84-bf5c-345f91854900.jpg
2026-03-28 04:50:05,667 | grouping | INFO | Loaded ResNet model for embeddings
2026-03-28 04:50:30,082 | grouping | INFO | Computed embeddings for 117 crops
2026-03-28 04:50:30,106 | grouping | INFO | Clustering produced 117 groups for 117 items
2026-03-28 04:50:30,190 | grouping.utils | INFO | Wrote output image to ../outputs\result_49d1e80b-2fac-420a-a4b8-36fc5ca562f0.jpg
2026-03-28 05:03:48,126 | grouping | INFO | Loaded model: resnet18
2026-03-28 05:05:37,272 | grouping | INFO | Loaded model: resnet18
2026-03-28 05:05:52,754 | grouping | INFO | Loaded model: resnet18
2026-03-28 05:05:56,904 | grouping | INFO | Loaded model: resnet18
2026-03-28 05:09:06,171 | grouping | INFO | Loaded model: resnet18
2026-03-28 05:09:23,859 | grouping | INFO | Computed embeddings for 117 crops
2026-03-28 05:09:23,869 | grouping | INFO | Clustering produced 27 groups for 117 items
2026-03-28 05:09:23,910 | grouping.utils | INFO | Wrote output image to outputs\result_8b9f2da6-9fa6-4bbb-8e0e-10d2e321c3f9.jpg
2026-03-28 05:26:22,232 | grouping | INFO | Loaded model: resnet18
2026-03-28 05:26:34,709 | grouping | INFO | Computed embeddings for 117 crops
2026-03-28 05:26:34,720 | grouping | INFO | Clustering produced 27 groups for 117 items
2026-03-28 05:26:34,761 | grouping.utils | INFO | Wrote output image to ../outputs\result_128b249d-6b82-4fae-8883-e31f71437a42.jpg
2026-03-28 05:47:38,662 | grouping | INFO | Loaded model: resnet18
